../.. => ##./###/...
#./.. => ..#/##./##.
##/.. => #.#/##./...
.#/#. => ##./###/###
##/#. => ###/.#./#.#
##/## => .#./.#./###
.../.../... => #.../.#.#/..##/#...
#../.../... => .##./#.##/##../##..
.#./.../... => ##../#.../.#.#/###.
##./.../... => .#.#/###./.#.#/.#..
#.#/.../... => .#.#/##../.#../###.
###/.../... => #.##/.##./..##/#.##
.#./#../... => #..#/...#/.###/.##.
##./#../... => .###/..#./#.../####
..#/#../... => ..../.#../#.##/....
#.#/#../... => ..##/.##./.##./....
.##/#../... => ###./#.../#.#./.#.#
###/#../... => .#../##.#/.#.#/..#.
.../.#./... => ####/##../..#./#..#
#../.#./... => ####/#.##/#..#/..#.
.#./.#./... => #.##/.#../.#../.#.#
##./.#./... => ..##/###./..../...#
#.#/.#./... => ...#/.#.#/.#../....
###/.#./... => ..../..#./#..#/##.#
.#./##./... => ##../.#.#/#.#./.#.#
##./##./... => ###./##.#/#.#./.##.
..#/##./... => ..#./.#.#/###./##.#
#.#/##./... => ##.#/.#../#.../#.#.
.##/##./... => ####/..../...#/#.##
###/##./... => ####/.###/.###/.###
.../#.#/... => .#.#/###./.##./.#..
#../#.#/... => #.##/#..#/#..#/##..
.#./#.#/... => ...#/##../..../#..#
##./#.#/... => #..#/.#../##.#/..##
#.#/#.#/... => ..../...#/..#./#..#
###/#.#/... => .##./#..#/...#/.##.
.../###/... => ..../#.##/.#../##..
#../###/... => .#.#/.###/###./#..#
.#./###/... => ...#/.#../###./.###
##./###/... => #..#/###./#.##/.#..
#.#/###/... => .#../##../###./.#.#
###/###/... => ###./.#.#/.##./###.
..#/.../#.. => ...#/#..#/###./.###
#.#/.../#.. => #.#./#.##/#.#./...#
.##/.../#.. => .#.#/#.#./..../#.##
###/.../#.. => ##.#/..##/.#.#/##..
.##/#../#.. => ####/#..#/.#.#/...#
###/#../#.. => .#.#/####/..##/.#.#
..#/.#./#.. => ##.#/.#../#.../.##.
#.#/.#./#.. => #..#/.#.#/#.#./#..#
.##/.#./#.. => #..#/..#./#.../...#
###/.#./#.. => #.##/.#../#.##/##.#
.##/##./#.. => .###/..../#..#/.##.
###/##./#.. => #.../.#.#/..#./.#..
#../..#/#.. => ..../##../#.../##.#
.#./..#/#.. => ..##/...#/###./##..
##./..#/#.. => .#.#/.###/...#/.#.#
#.#/..#/#.. => .#../..../.###/.##.
.##/..#/#.. => #.##/.##./.##./####
###/..#/#.. => #.../.#../..../#...
#../#.#/#.. => .#../.#.#/..##/###.
.#./#.#/#.. => ##.#/#.##/...#/#.##
##./#.#/#.. => .##./####/.#.#/.#..
..#/#.#/#.. => #.##/##.#/..#./.###
#.#/#.#/#.. => ###./.#../###./###.
.##/#.#/#.. => .#../.#../####/##.#
###/#.#/#.. => #.##/##.#/#.../##..
#../.##/#.. => ..#./.###/#.#./..#.
.#./.##/#.. => ##.#/##../..#./#...
##./.##/#.. => #.../..#./#.../.#..
#.#/.##/#.. => ..#./#.##/.##./####
.##/.##/#.. => #.#./.#../####/..##
###/.##/#.. => ...#/#..#/#.../.#..
#../###/#.. => ..../..../##.#/.##.
.#./###/#.. => ..##/..#./##../....
##./###/#.. => .#../..##/..../.#.#
..#/###/#.. => ...#/...#/..#./###.
#.#/###/#.. => ####/##.#/##../..##
.##/###/#.. => ..##/##../#..#/##..
###/###/#.. => ##.#/.##./...#/.#.#
.#./#.#/.#. => ###./####/.##./#..#
##./#.#/.#. => #.../..#./.##./##..
#.#/#.#/.#. => .##./####/##../.#.#
###/#.#/.#. => ##../..../.#.#/....
.#./###/.#. => ..##/##.#/.##./.#.#
##./###/.#. => #.../.#../..##/..#.
#.#/###/.#. => ####/.##./#..#/...#
###/###/.#. => ####/..../##.#/.#.#
#.#/..#/##. => ####/####/####/#...
###/..#/##. => #.#./####/##.#/####
.##/#.#/##. => .###/#.../#.../...#
###/#.#/##. => ..#./#.#./##../##.#
#.#/.##/##. => ###./###./#..#/.###
###/.##/##. => ##.#/..#./##../....
.##/###/##. => ##.#/###./.#.#/.##.
###/###/##. => #.##/.#.#/#..#/.##.
#.#/.../#.# => ..#./####/...#/#.##
###/.../#.# => .##./..#./####/#...
###/#../#.# => .##./##../..../###.
#.#/.#./#.# => #.##/#.##/#.##/#...
###/.#./#.# => ####/#.##/####/.###
###/##./#.# => .#.#/..../.#.#/#.##
#.#/#.#/#.# => ###./#.##/####/.###
###/#.#/#.# => .##./.##./.#.#/....
#.#/###/#.# => ##../..##/...#/.##.
###/###/#.# => .#../#.##/..##/.#..
###/#.#/### => ##.#/..#./...#/.###
###/###/### => ..##/###./.###/.###
